2.00E+00,4.40E+01,3.00E+01,5.50E+01,3.00E+01,9.09E+00
1.00E+00,2.50E+01,4.00E+00,9.60E+02,1.20E+03,2.08E+01
2.00E+00,1.55E+01,6.00E+00,3.20E+01,3.57E+01,1.86E+01
0.00E+00,1.40E+01,2.00E+00,1.60E+02,2.02E+02,2.10E+01
2.00E+00,2.50E+01,7.00E+00,1.00E+02,6.00E+01,1.00E+01
1.00E+00,9.50E+00,2.30E+00,1.10E+02,1.10E+02,1.67E+01
2.00E+00,2.80E+01,7.10E+00,5.50E+01,4.62E+01,1.40E+01
2.00E+00,3.69E+01,1.60E+01,3.50E+01,1.89E+01,9.00E+00
1.00E+00,3.20E+01,4.00E+00,1.44E+03,1.92E+03,2.22E+01
1.00E+00,1.80E+02,5.00E+01,1.20E+03,2.00E+03,2.78E+01
2.00E+00,4.00E+01,1.50E+01,2.00E+01,1.00E+01,8.33E+00
0.00E+00,9.75E+01,1.36E+01,8.40E+02,1.30E+03,2.57E+01
2.00E+00,2.50E+01,7.00E+00,1.00E+02,6.00E+01,1.00E+01
1.00E+00,1.00E+01,4.40E+00,2.40E+02,2.72E+02,1.89E+01